"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000019951",2793,2970,3352,3195,2721,3349
"ENSMUSG00000019952",504,497,429,389,456,399
"ENSMUSG00000019960",11136,13819,9222,8215,10883,16138
"ENSMUSG00000019961",3133,2655,6136,5309,4164,3967
"ENSMUSG00000019966",10515,10813,9540,11474,13195,15973
"ENSMUSG00000019969",1850,1861,1909,1857,1959,1710
"ENSMUSG00000019970",4699,5795,9905,13575,5764,11116
"ENSMUSG00000019971",1003,1166,1139,848,1052,957
"ENSMUSG00000019975",512,455,435,495,441,505
"ENSMUSG00000019977",1369,1342,1294,1428,1363,1297
"ENSMUSG00000019978",1584,1528,443,472,718,771
"ENSMUSG00000019979",577,505,672,600,567,659
"ENSMUSG00000019982",73,99,487,354,86,130
"ENSMUSG00000019984",1199,1135,1264,1162,1240,1188
"ENSMUSG00000019986",311,346,307,340,402,377
"ENSMUSG00000019987",19,25,132,75,14,12
"ENSMUSG00000019988",539,631,731,623,621,583
"ENSMUSG00000019989",31,45,147,99,9,9
"ENSMUSG00000019990",444,664,125,265,445,454
"ENSMUSG00000019992",64,60,78,55,55,72
"ENSMUSG00000019996",2874,2840,2803,2731,2986,3631
"ENSMUSG00000019997",8055,4825,8804,12463,16086,15646
"ENSMUSG00000019998",1852,1607,1917,1786,1970,1862
"ENSMUSG00000020000",3436,3020,7727,7109,4599,6045
"ENSMUSG00000020003",541,457,561,594,561,511
"ENSMUSG00000020009",1731,1724,1520,1256,1137,1072
"ENSMUSG00000020015",761,815,910,894,762,749
"ENSMUSG00000020017",25,21,14,27,22,14
"ENSMUSG00000020018",166,219,412,287,251,200
"ENSMUSG00000020019",590,487,624,652,716,554
"ENSMUSG00000020021",1523,1199,648,696,831,979
"ENSMUSG00000020022",627,627,936,842,610,580
"ENSMUSG00000020023",174,243,1176,1390,217,226
"ENSMUSG00000020024",467,470,688,528,571,563
"ENSMUSG00000020027",1017,1443,752,626,1692,795
"ENSMUSG00000020029",2649,2571,1999,2516,2305,2138
"ENSMUSG00000020032",321,221,292,249,195,234
"ENSMUSG00000020034",1429,1581,311,546,812,1288
"ENSMUSG00000020038",422,535,428,427,410,400
"ENSMUSG00000020042",985,785,1418,1643,1677,1505
"ENSMUSG00000020044",29001,35308,16779,20748,21448,23812
"ENSMUSG00000020048",15697,21028,14690,16671,11838,11815
"ENSMUSG00000020053",566,973,47,61,102,204
"ENSMUSG00000020056",252,205,332,318,235,249
"ENSMUSG00000020057",142,118,1776,1214,446,391
"ENSMUSG00000020059",246,270,222,240,312,335
"ENSMUSG00000020061",3,2,11,24,13,9
"ENSMUSG00000020062",34,86,90,57,23,30
"ENSMUSG00000020063",1589,1759,907,1027,1359,1958
"ENSMUSG00000020064",1169,1051,1584,1427,1166,1054
"ENSMUSG00000020069",1186,1316,820,1093,1022,973
"ENSMUSG00000020070",1162,1198,705,781,860,833
"ENSMUSG00000020072",73,45,22,34,40,41
"ENSMUSG00000020074",2439,2351,3262,3310,3084,2801
"ENSMUSG00000020075",2870,3389,5025,3620,3523,3589
"ENSMUSG00000020076",2240,2235,1774,2037,2077,2167
"ENSMUSG00000020077",126,96,182,55,43,53
"ENSMUSG00000020078",1441,1510,1458,1518,1397,1425
"ENSMUSG00000020079",381,316,527,406,347,300
"ENSMUSG00000020083",107,94,64,52,57,38
"ENSMUSG00000020085",248,242,392,328,282,266
"ENSMUSG00000020086",287,242,376,399,430,373
"ENSMUSG00000020087",199,180,296,263,185,146
"ENSMUSG00000020088",2739,2959,2710,2865,2686,2579
"ENSMUSG00000020089",525,682,2035,1231,506,506
"ENSMUSG00000020091",2435,2114,1915,1959,1902,1583
"ENSMUSG00000020092",134,122,72,88,89,63
"ENSMUSG00000020097",2541,2359,2522,2836,2884,2612
"ENSMUSG00000020098",146,132,83,109,98,96
"ENSMUSG00000020099",1014,792,337,536,927,878
"ENSMUSG00000020100",830,729,927,893,790,774
"ENSMUSG00000020101",495,206,181,187,270,389
"ENSMUSG00000020102",2723,3641,2752,3204,2291,1390
"ENSMUSG00000020105",1740,1319,1068,1276,1720,1646
"ENSMUSG00000020107",759,653,592,598,614,474
"ENSMUSG00000020108",255,307,740,529,176,269
"ENSMUSG00000020109",1199,1129,1115,1108,1211,1011
"ENSMUSG00000020111",624,672,1071,1036,799,794
"ENSMUSG00000020114",3466,3596,4752,4142,4183,3183
"ENSMUSG00000020115",1361,1181,1335,1427,1371,1200
"ENSMUSG00000020116",305,367,927,618,464,374
"ENSMUSG00000020120",75,114,150,72,41,48
"ENSMUSG00000020121",23,58,740,479,21,41
"ENSMUSG00000020122",11302,10539,9495,10061,12124,14442
"ENSMUSG00000020124",1454,1601,1732,1663,1673,1540
"ENSMUSG00000020128",2159,1986,1810,1995,2099,2111
"ENSMUSG00000020130",1858,2189,1431,1435,1708,1662
"ENSMUSG00000020131",48,27,22,30,27,37
"ENSMUSG00000020132",1183,1162,1646,1439,1545,1480
"ENSMUSG00000020133",201,164,236,216,166,137
"ENSMUSG00000020134",1363,1614,1160,1178,1202,1659
"ENSMUSG00000020135",108,66,42,24,77,63
"ENSMUSG00000020137",629,655,665,631,844,564
"ENSMUSG00000020140",82,60,64,79,61,64
"ENSMUSG00000020142",498,547,1432,1786,1028,1548
"ENSMUSG00000020143",35,18,44,31,16,3
"ENSMUSG00000020149",5717,6318,6543,6702,6503,5715
"ENSMUSG00000020150",65,38,48,44,62,50
"ENSMUSG00000020152",4130,4323,6699,5939,5337,4698
"ENSMUSG00000020153",629,483,657,577,496,386
"ENSMUSG00000020154",1180,478,100,100,180,131
"ENSMUSG00000020156",525,461,438,508,382,387
"ENSMUSG00000020159",107,16,950,661,29,8
"ENSMUSG00000020160",1591,1649,2069,2452,2460,2215
"ENSMUSG00000020163",391,390,617,518,423,393
"ENSMUSG00000020166",1600,1612,1883,1984,1769,1595
"ENSMUSG00000020167",827,859,1285,1294,1131,934
"ENSMUSG00000020170",1966,1903,1786,1871,1968,1878
"ENSMUSG00000020171",316,288,438,367,304,343
"ENSMUSG00000020173",1172,1038,2264,1710,1374,845
"ENSMUSG00000020175",35,60,35,55,43,40
"ENSMUSG00000020176",836,895,606,900,642,764
"ENSMUSG00000020177",1910,233,4,12,106,159
"ENSMUSG00000020180",547,671,972,740,717,611
"ENSMUSG00000020181",42,32,16,8,21,25
"ENSMUSG00000020183",6592,4644,847,1436,828,1085
"ENSMUSG00000020184",3804,3390,2397,2763,2939,3032
"ENSMUSG00000020185",15,35,270,175,84,60
"ENSMUSG00000020186",140,209,1366,1351,324,618
"ENSMUSG00000020189",1586,1724,1396,1320,1607,1808
"ENSMUSG00000020190",4810,4912,3493,3852,4528,4365
"ENSMUSG00000020193",27,35,25,32,27,19
"ENSMUSG00000020196",1549,1411,1937,1713,1623,1258
"ENSMUSG00000020198",3019,2840,2984,3078,2875,2457
"ENSMUSG00000020205",4321,4857,5032,5652,7542,6509
"ENSMUSG00000020211",639,530,678,600,566,500
"ENSMUSG00000020212",85,110,168,137,121,107
"ENSMUSG00000020216",18,11,6,8,5,19
"ENSMUSG00000020218",546,525,752,359,282,482
"ENSMUSG00000020219",157,147,281,226,191,144
"ENSMUSG00000020220",5746,5486,5970,6652,6973,6299
"ENSMUSG00000020224",287,265,426,349,317,264
"ENSMUSG00000020225",583,543,454,492,446,375
"ENSMUSG00000020227",155,129,54,28,39,57
"ENSMUSG00000020228",385,429,322,344,351,339
"ENSMUSG00000020230",254,197,226,228,307,223
"ENSMUSG00000020231",911,705,717,775,964,938
"ENSMUSG00000020232",637,508,791,910,758,742
"ENSMUSG00000020234",82,90,53,50,54,41
"ENSMUSG00000020235",421,363,581,518,478,338
"ENSMUSG00000020238",742,681,1249,1076,746,576
"ENSMUSG00000020241",289,443,61,76,88,101
"ENSMUSG00000020246",731,631,554,628,676,543
"ENSMUSG00000020248",1027,1066,960,894,915,967
"ENSMUSG00000020250",3177,3803,2290,2359,2390,4113
"ENSMUSG00000020251",81,57,21,39,38,41
"ENSMUSG00000020253",281,225,157,177,200,245
"ENSMUSG00000020255",1011,1209,951,773,952,945
"ENSMUSG00000020256",200,180,120,97,58,108
"ENSMUSG00000020257",2212,2237,2417,2465,2386,1945
"ENSMUSG00000020258",43,40,27,38,32,28
"ENSMUSG00000020260",600,630,699,709,626,538
"ENSMUSG00000020261",1056,969,833,1128,1653,1080
"ENSMUSG00000020262",1038,940,619,596,1123,1047
"ENSMUSG00000020263",1260,930,1032,1222,851,827
"ENSMUSG00000020265",1314,1287,1797,1574,1540,1339
"ENSMUSG00000020267",985,825,1188,876,1001,849
"ENSMUSG00000020268",98,41,81,121,45,48
"ENSMUSG00000020271",1581,1560,1900,1673,1635,1534
"ENSMUSG00000020272",243,243,143,126,148,124
"ENSMUSG00000020273",687,659,577,677,699,553
"ENSMUSG00000020275",1785,2844,1572,1582,1396,2871
"ENSMUSG00000020277",678,770,1642,1445,786,692
"ENSMUSG00000020280",569,584,687,672,518,602
"ENSMUSG00000020282",1463,1154,1152,1320,1121,1152
"ENSMUSG00000020283",723,690,657,652,831,588
"ENSMUSG00000020284",262,207,166,215,204,213
"ENSMUSG00000020287",332,261,236,281,232,261
"ENSMUSG00000020288",1489,1499,1558,1737,1932,1781
"ENSMUSG00000020289",547,448,566,604,518,455
"ENSMUSG00000020290",3599,4512,5937,5053,4318,3446
"ENSMUSG00000020300",2477,3130,1931,2265,3242,3157
"ENSMUSG00000020303",32,36,1283,329,726,56
"ENSMUSG00000020305",360,337,342,348,434,355
"ENSMUSG00000020307",226,219,320,208,234,189
"ENSMUSG00000020308",200,143,194,231,197,166
"ENSMUSG00000020309",53,73,177,129,106,73
"ENSMUSG00000020311",1084,981,790,787,793,727
"ENSMUSG00000020315",16088,17043,10998,10577,11791,12790
"ENSMUSG00000020319",147,120,177,170,174,178
"ENSMUSG00000020321",2011,2191,2480,2387,1963,1742
"ENSMUSG00000020323",123,101,166,116,95,108
"ENSMUSG00000020325",144,118,211,145,114,125
"ENSMUSG00000020326",4034,4511,5972,5800,7458,5315
"ENSMUSG00000020328",163,194,429,393,243,213
"ENSMUSG00000020329",333,298,420,359,350,264
"ENSMUSG00000020330",25,105,760,534,302,159
"ENSMUSG00000020331",29,23,41,39,37,32
"ENSMUSG00000020334",73,86,81,96,32,76
"ENSMUSG00000020335",67,44,34,35,44,34
"ENSMUSG00000020340",207,209,47,38,39,28
"ENSMUSG00000020346",639,465,692,631,563,516
"ENSMUSG00000020349",4042,3870,4905,5031,4614,4378
"ENSMUSG00000020354",3,55,71,130,53,101
"ENSMUSG00000020357",65,31,10,20,9,6
"ENSMUSG00000020358",5010,5777,9208,7237,6168,5994
"ENSMUSG00000020359",5443,5267,6281,5452,4866,5193
"ENSMUSG00000020361",4370,5218,8695,7551,6306,5985
"ENSMUSG00000020362",3182,3127,5181,4623,4310,3720
"ENSMUSG00000020363",71,159,12,27,14,41
"ENSMUSG00000020364",97,80,42,65,98,66
"ENSMUSG00000020366",1116,1152,862,871,847,823
"ENSMUSG00000020368",10833,13993,13706,13089,10129,9988
"ENSMUSG00000020372",10482,9706,15396,13773,12418,12664
"ENSMUSG00000020375",595,515,432,487,448,418
"ENSMUSG00000020376",863,845,910,819,980,836
"ENSMUSG00000020377",10,8,5,8,10,11
"ENSMUSG00000020380",1898,1812,2004,1712,1927,1678
"ENSMUSG00000020381",227,243,113,145,114,157
"ENSMUSG00000020385",1516,1555,1093,1557,1153,1470
"ENSMUSG00000020386",862,856,1260,1145,951,846
"ENSMUSG00000020387",2729,2272,914,1002,2072,1955
"ENSMUSG00000020388",1319,898,946,1231,1062,1137
"ENSMUSG00000020389",295,253,217,212,234,253
"ENSMUSG00000020390",2639,2840,1897,2453,2809,2535
"ENSMUSG00000020392",665,588,825,636,678,506
"ENSMUSG00000020393",953,875,1143,1290,1340,1346
"ENSMUSG00000020397",486,658,592,547,504,402
"ENSMUSG00000020400",816,702,673,649,664,544
"ENSMUSG00000020402",2490,2876,3986,3286,3085,2563
"ENSMUSG00000020405",10,3,13,15,10,15
"ENSMUSG00000020407",31,85,57,34,23,60
"ENSMUSG00000020409",1290,1256,1056,995,1248,1125
"ENSMUSG00000020411",114,141,218,244,365,210
"ENSMUSG00000020412",1092,1167,1247,1308,1195,1059
"ENSMUSG00000020413",462,363,498,439,355,266
"ENSMUSG00000020415",57,50,291,167,99,78
"ENSMUSG00000020420",223,140,188,193,195,127
"ENSMUSG00000020422",15088,13802,10828,12425,18082,19920
"ENSMUSG00000020423",32058,31343,11640,17792,22687,18837
"ENSMUSG00000020424",238,209,364,412,511,406
"ENSMUSG00000020427",1017,405,1041,614,270,261
"ENSMUSG00000020430",1139,1034,1767,1298,1101,984
"ENSMUSG00000020431",1089,1279,288,738,1002,1250
"ENSMUSG00000020432",2413,2177,1262,2020,1587,1638
"ENSMUSG00000020434",16,25,20,14,11,11
"ENSMUSG00000020437",31,26,28,10,14,14
"ENSMUSG00000020439",2801,2127,5609,6048,5208,4750
"ENSMUSG00000020440",630,605,949,891,887,768
"ENSMUSG00000020441",502,441,320,295,329,348
"ENSMUSG00000020444",292,263,232,199,228,189
"ENSMUSG00000020447",41,13,4,3,14,12
"ENSMUSG00000020448",547,616,453,467,529,431
"ENSMUSG00000020451",6084,5159,2990,2798,3872,3490
"ENSMUSG00000020453",1635,1093,915,733,1251,729
"ENSMUSG00000020454",1586,1425,2188,1514,1870,1223
"ENSMUSG00000020455",522,388,503,501,503,391
"ENSMUSG00000020456",3846,4073,5268,5021,4702,4214
"ENSMUSG00000020457",794,807,1010,838,822,663
"ENSMUSG00000020458",2547,2733,5481,4476,3178,3449
"ENSMUSG00000020459",544,563,628,769,615,579
"ENSMUSG00000020460",4634,4813,5675,5171,5252,5901
"ENSMUSG00000020462",360,405,501,496,436,397
"ENSMUSG00000020463",2872,2600,2869,2770,2765,2698
"ENSMUSG00000020464",787,699,1475,1200,858,903
"ENSMUSG00000020467",2052,2321,1810,2645,3117,3163
"ENSMUSG00000020471",303,284,509,316,277,194
"ENSMUSG00000020472",1046,872,1039,983,976,867
"ENSMUSG00000020473",1725,2668,1105,1047,1143,1051
"ENSMUSG00000020474",256,216,277,265,232,191
"ENSMUSG00000020475",52,66,48,52,53,51
"ENSMUSG00000020476",886,854,1484,1245,1044,865
"ENSMUSG00000020477",184,172,231,183,224,140
"ENSMUSG00000020482",492,491,428,431,714,451
"ENSMUSG00000020483",2772,2554,2868,3089,3293,2590
"ENSMUSG00000020484",2293,2813,3282,3700,2226,1458
"ENSMUSG00000020485",402,343,335,306,394,346
"ENSMUSG00000020486",104,46,19,8,17,11
"ENSMUSG00000020491",226,146,98,105,120,73
"ENSMUSG00000020492",449,354,406,336,367,274
"ENSMUSG00000020493",26,81,487,298,151,82
"ENSMUSG00000020495",407,295,435,353,420,278
"ENSMUSG00000020496",1337,1167,1248,1235,1368,1005
"ENSMUSG00000020513",103,117,139,166,164,140
"ENSMUSG00000020514",137,137,240,206,166,178
"ENSMUSG00000020515",550,514,775,632,748,444
"ENSMUSG00000020516",1416,1259,1384,1267,1422,1367
"ENSMUSG00000020519",371,266,246,263,295,341
"ENSMUSG00000020520",567,507,295,340,484,402
"ENSMUSG00000020521",786,762,683,709,726,713
"ENSMUSG00000020522",1162,1004,973,977,1037,915
"ENSMUSG00000020523",1465,1296,1028,1026,1216,1067
"ENSMUSG00000020525",387,355,373,295,360,364
"ENSMUSG00000020526",160,140,133,133,113,94
"ENSMUSG00000020527",254,294,866,789,428,316
"ENSMUSG00000020528",278,335,298,260,258,246
"ENSMUSG00000020530",2624,2464,2242,2150,2203,2371
"ENSMUSG00000020532",1193,1213,1685,1211,1247,1213
"ENSMUSG00000020534",693,817,1012,638,531,589
"ENSMUSG00000020536",933,697,1470,1318,1063,920
"ENSMUSG00000020537",655,625,669,583,490,461
"ENSMUSG00000020538",2539,2487,3310,3896,2888,2914
"ENSMUSG00000020541",1296,1129,900,857,870,836
"ENSMUSG00000020544",237,147,187,148,177,127
"ENSMUSG00000020546",597,604,549,668,742,604
"ENSMUSG00000020547",630,655,2781,2183,964,682
"ENSMUSG00000020549",407,437,609,479,406,383
"ENSMUSG00000020553",75,52,74,39,62,53
"ENSMUSG00000020561",553,582,717,549,646,503
"ENSMUSG00000020564",792,847,715,608,718,739
"ENSMUSG00000020566",1203,1010,146,336,329,214
"ENSMUSG00000020570",3543,3217,4309,3992,4319,3618
"ENSMUSG00000020571",7360,7732,3948,4751,3501,3491
"ENSMUSG00000020572",5971,5486,5572,5987,6576,6607
"ENSMUSG00000020573",109,31,50,39,27,18
"ENSMUSG00000020576",1417,1549,1475,1377,1359,1279
"ENSMUSG00000020577",624,729,331,477,192,136
"ENSMUSG00000020580",11217,11136,6869,7164,10013,13149
"ENSMUSG00000020581",1434,1267,145,257,220,189
"ENSMUSG00000020585",8083,7600,7212,7959,7840,7697
"ENSMUSG00000020589",97,122,139,83,80,60
"ENSMUSG00000020590",2453,2326,2187,2422,2676,2460
"ENSMUSG00000020592",8152,7503,15010,15679,11859,11151
"ENSMUSG00000020593",1183,1646,468,695,918,1112
"ENSMUSG00000020594",7820,7582,7809,7134,7838,7586
"ENSMUSG00000020599",126,77,14,28,48,35
"ENSMUSG00000020601",211,156,154,214,169,99
"ENSMUSG00000020604",162,141,115,141,124,153
"ENSMUSG00000020605",319,266,277,296,275,171
"ENSMUSG00000020607",194,391,2262,1905,1039,636
"ENSMUSG00000020608",1805,1724,2432,2104,1983,1723
"ENSMUSG00000020610",672,686,850,802,718,592
"ENSMUSG00000020611",2935,2516,3056,2833,3003,2596
"ENSMUSG00000020612",5304,5398,5618,5774,6371,5583
"ENSMUSG00000020614",47,60,14,14,20,37
"ENSMUSG00000020620",52,87,17,22,32,47
"ENSMUSG00000020621",152,128,169,182,168,137
"ENSMUSG00000020623",359,357,154,203,255,291
"ENSMUSG00000020627",2017,1655,1384,1573,2017,2898
"ENSMUSG00000020628",611,581,810,836,693,500
"ENSMUSG00000020629",1095,950,527,671,882,694
"ENSMUSG00000020630",157,173,187,142,143,130
"ENSMUSG00000020634",1331,1323,1112,1171,1234,1231
"ENSMUSG00000020635",31,17,37,31,36,21
"ENSMUSG00000020638",75,30,900,114,16,19
"ENSMUSG00000020640",2594,2456,2143,2349,2713,2641
"ENSMUSG00000020641",31,16,1401,194,17,3
"ENSMUSG00000020642",47,45,13,12,14,12
"ENSMUSG00000020644",2806,2839,1930,2529,2713,4263
"ENSMUSG00000020646",391,391,422,451,896,684
"ENSMUSG00000020647",4198,3820,2941,3429,3966,5391
"ENSMUSG00000020648",171,179,231,158,161,121
"ENSMUSG00000020649",312,343,1782,967,832,586
"ENSMUSG00000020650",638,630,746,618,632,662
"ENSMUSG00000020651",85,112,16,48,18,41
"ENSMUSG00000020652",265,207,277,256,242,211
"ENSMUSG00000020653",2190,1932,1050,1396,1935,1788
"ENSMUSG00000020654",392,401,455,351,381,342
"ENSMUSG00000020656",1165,1380,715,725,510,878
"ENSMUSG00000020657",224,284,201,146,132,219
"ENSMUSG00000020658",60,48,10,15,7,15
"ENSMUSG00000020659",581,545,603,578,576,506
"ENSMUSG00000020661",1873,1611,1894,1898,1924,1967
"ENSMUSG00000020664",1659,1587,2458,2264,2001,1560
"ENSMUSG00000020668",595,457,294,373,461,438
"ENSMUSG00000020669",382,345,419,472,379,359
"ENSMUSG00000020671",4822,5238,7834,7229,6087,5467
"ENSMUSG00000020672",34,48,19,26,48,56
"ENSMUSG00000020674",814,620,2322,2194,906,942
"ENSMUSG00000020676",60,48,10,27,27,27
"ENSMUSG00000020677",937,814,1013,892,932,926
"ENSMUSG00000020679",1829,1235,989,1100,1055,999
"ENSMUSG00000020680",1128,1412,1616,1647,1445,1519
"ENSMUSG00000020681",2406,1680,617,859,496,519
"ENSMUSG00000020682",676,816,634,717,967,764
"ENSMUSG00000020687",1714,1641,2441,2300,2433,2128
"ENSMUSG00000020691",278,306,401,345,250,226
"ENSMUSG00000020692",114,106,170,124,108,99
"ENSMUSG00000020694",1899,2004,1645,1692,1893,2042
"ENSMUSG00000020695",141,349,321,132,360,89
"ENSMUSG00000020696",1196,1085,906,877,894,897
"ENSMUSG00000020697",1483,1384,1639,1453,1491,1220
"ENSMUSG00000020700",1166,870,597,559,848,787
"ENSMUSG00000020705",1960,1815,2070,1906,1891,1776
"ENSMUSG00000020706",952,921,1752,1239,945,909
"ENSMUSG00000020707",117,91,189,136,87,63
"ENSMUSG00000020708",769,645,1391,1242,1183,1018
"ENSMUSG00000020709",30,12,11,6,9,5
"ENSMUSG00000020715",2717,3022,1297,1618,2297,1832
"ENSMUSG00000020716",6152,6152,4708,4949,6355,6413
"ENSMUSG00000020717",785,451,173,206,220,237
"ENSMUSG00000020718",749,530,209,346,344,689
"ENSMUSG00000020719",47129,53923,31846,35764,38177,44565
"ENSMUSG00000020720",1111,1075,1950,1712,1278,1160
"ENSMUSG00000020721",2882,2859,2688,2607,2930,2727
"ENSMUSG00000020723",13,8,0,10,9,11
"ENSMUSG00000020728",296,246,85,73,190,195
"ENSMUSG00000020733",540,553,503,508,316,245
"ENSMUSG00000020736",251,177,392,313,259,197
"ENSMUSG00000020737",405,405,958,782,408,294
"ENSMUSG00000020738",701,671,877,869,852,637
"ENSMUSG00000020739",557,483,776,623,463,402
"ENSMUSG00000020740",433,376,419,426,406,313
"ENSMUSG00000020741",1384,1657,3795,2969,2238,1971
"ENSMUSG00000020743",392,271,272,332,354,281
"ENSMUSG00000020744",126,117,103,97,108,88
"ENSMUSG00000020745",5949,5935,5826,6137,6559,6150
"ENSMUSG00000020747",2395,2113,1767,1926,2435,1846
"ENSMUSG00000020752",464,381,432,423,364,281
"ENSMUSG00000020755",725,586,648,569,586,548
"ENSMUSG00000020758",15048,13796,19088,15469,16707,15848
"ENSMUSG00000020766",227,154,144,191,189,153
"ENSMUSG00000020770",765,602,597,656,544,509
"ENSMUSG00000020773",122,103,164,128,179,80
"ENSMUSG00000020774",36,21,64,67,22,19
"ENSMUSG00000020775",260,223,539,412,309,224
"ENSMUSG00000020776",1825,1785,1290,1385,1647,1454
"ENSMUSG00000020777",2145,2422,1583,1770,1671,1355
"ENSMUSG00000020778",128,113,173,195,162,144
"ENSMUSG00000020780",1421,1304,1212,1210,1149,961
"ENSMUSG00000020781",301,205,187,186,219,184
"ENSMUSG00000020782",1224,1036,441,593,626,636
"ENSMUSG00000020783",1197,1014,1217,1267,1449,1191
"ENSMUSG00000020785",75,45,79,105,25,32
"ENSMUSG00000020788",178,141,96,190,229,345
"ENSMUSG00000020790",3461,3300,4143,3663,3443,3000
"ENSMUSG00000020792",1092,942,1157,1051,1180,922
"ENSMUSG00000020793",56,34,14,26,41,19
"ENSMUSG00000020794",1355,1262,1824,1643,1560,1429
"ENSMUSG00000020801",142,156,168,141,151,124
"ENSMUSG00000020802",610,568,795,778,688,579
"ENSMUSG00000020803",855,851,1832,1428,1254,1134
"ENSMUSG00000020806",541,429,658,567,456,357
"ENSMUSG00000020807",482,385,411,422,444,343
"ENSMUSG00000020808",34,27,115,68,64,63
"ENSMUSG00000020810",112,160,32,51,34,64
"ENSMUSG00000020812",199,186,220,178,134,98
"ENSMUSG00000020814",62,85,118,137,71,66
"ENSMUSG00000020817",2996,3088,3168,3624,4466,3814
"ENSMUSG00000020818",968,840,1048,1026,717,769
"ENSMUSG00000020821",3031,2725,3612,3399,3568,3515
"ENSMUSG00000020823",2831,2425,2447,2925,3416,3330
"ENSMUSG00000020827",2789,2345,2193,2241,2469,2252
"ENSMUSG00000020828",1109,859,989,1063,889,1016
"ENSMUSG00000020829",153,106,109,105,97,92
"ENSMUSG00000020831",235,215,246,295,254,223
"ENSMUSG00000020832",252,274,323,268,295,246
"ENSMUSG00000020834",64,49,99,91,79,44
"ENSMUSG00000020836",137,91,427,624,78,121
"ENSMUSG00000020838",929,673,99,145,346,377
"ENSMUSG00000020839",5,9,48,32,14,9
"ENSMUSG00000020840",726,757,1555,1272,1100,958
"ENSMUSG00000020841",14327,14066,11616,10132,16841,15560
"ENSMUSG00000020843",153,161,227,206,191,146
"ENSMUSG00000020844",4511,4405,5624,5922,5383,5349
"ENSMUSG00000020846",3714,2888,3909,3794,3992,4445
"ENSMUSG00000020847",135,89,135,138,120,130
"ENSMUSG00000020848",474,210,27,43,55,99
"ENSMUSG00000020849",8389,8616,12888,11728,10636,9580
"ENSMUSG00000020850",10659,10659,10822,9111,9883,9144
"ENSMUSG00000020857",460,544,1167,755,432,429
"ENSMUSG00000020859",4678,4133,3667,4051,4802,5754
"ENSMUSG00000020863",2436,2497,2453,2632,2092,2210
"ENSMUSG00000020864",1295,1191,1078,1068,1657,1512
"ENSMUSG00000020865",3603,3172,3010,3354,3485,3153
"ENSMUSG00000020866",92,103,190,314,177,224
"ENSMUSG00000020868",469,385,347,371,428,370
"ENSMUSG00000020869",1604,1775,3748,2814,1713,1508
"ENSMUSG00000020873",720,948,1050,985,774,636
"ENSMUSG00000020875",188,192,56,101,103,99
"ENSMUSG00000020876",268,223,241,226,230,236
"ENSMUSG00000020877",30,25,33,26,29,21
"ENSMUSG00000020882",151,127,53,87,63,78
"ENSMUSG00000020883",1591,1334,1002,998,1480,1458
"ENSMUSG00000020884",5,12,3,11,10,6
"ENSMUSG00000020886",263,258,160,242,341,269
"ENSMUSG00000020888",836,752,722,671,725,736
"ENSMUSG00000020889",4633,2588,1558,1791,2525,2329
"ENSMUSG00000020892",92,85,19,38,28,88
"ENSMUSG00000020893",4591,5270,1888,3244,3760,4393
"ENSMUSG00000020894",1710,1782,655,932,1057,996
"ENSMUSG00000020895",70,83,83,60,75,41
"ENSMUSG00000020897",14,25,302,198,85,62
"ENSMUSG00000020898",651,636,819,746,745,579
"ENSMUSG00000020899",652,822,1485,1039,655,484
"ENSMUSG00000020900",3687,4215,1805,2032,3030,3333
"ENSMUSG00000020902",106,150,54,31,46,40
"ENSMUSG00000020903",309,308,323,342,309,323
"ENSMUSG00000020905",255,210,303,284,168,179
"ENSMUSG00000020910",188,119,130,175,169,144
"ENSMUSG00000020911",2036,2337,20376,19627,5683,5568
"ENSMUSG00000020914",120,411,4706,2651,1390,893
"ENSMUSG00000020916",3,3,20,16,5,14
"ENSMUSG00000020917",1818,2004,2589,2247,1771,1699
"ENSMUSG00000020918",630,582,1066,936,729,564
"ENSMUSG00000020919",1803,1658,1320,1317,2622,1553
"ENSMUSG00000020921",93,64,127,129,133,76
"ENSMUSG00000020922",1071,1191,2144,1765,1647,1378
"ENSMUSG00000020923",3100,2987,3764,3459,3579,3000
"ENSMUSG00000020925",328,349,418,469,328,281
"ENSMUSG00000020926",73,66,7,19,21,22
"ENSMUSG00000020929",1380,1427,2454,1894,1515,1317
"ENSMUSG00000020935",482,457,831,701,529,425
"ENSMUSG00000020936",1693,1720,1866,1697,1710,1582
"ENSMUSG00000020937",1555,1103,506,639,887,918
"ENSMUSG00000020941",469,738,391,361,642,534
"ENSMUSG00000020946",948,1009,1135,1109,1061,875
"ENSMUSG00000020948",381,326,419,345,414,296
"ENSMUSG00000020949",500,622,658,646,562,522
"ENSMUSG00000020952",1151,1218,1347,1265,939,903
"ENSMUSG00000020953",167,248,13,26,46,53
"ENSMUSG00000020954",3165,3154,2983,3072,3468,3534
"ENSMUSG00000020955",338,326,240,246,262,246
"ENSMUSG00000020956",147,129,152,99,106,96
"ENSMUSG00000020961",2742,1786,1479,1337,2103,2000
"ENSMUSG00000020962",2331,2691,2003,1896,2370,2047
"ENSMUSG00000020964",3127,3688,2957,3477,3062,2628
"ENSMUSG00000020973",156,154,285,179,189,121
